Designator,Mid X,Mid Y,Layer,Rotation
U6,26.5938mm,10.3886mm,Top,270
U5,18.3642mm,13.3350mm,Top,180
TP12,-40.6400mm,-15.2400mm,Top,90
TP5,-40.6400mm,-17.7800mm,Top,90
R17,-7.6294mm,17.7800mm,Top,0
R16,-24.9334mm,17.7800mm,Top,180
R15,-3.6990mm,17.7800mm,Top,180
R14,-28.6860mm,17.7546mm,Top,0
R2,5.0800mm,18.2880mm,Top,270
R1,7.6200mm,18.3040mm,Top,270
M3,-38.1000mm,11.4300mm,Top,90
M2,-35.5600mm,12.7000mm,Top,270
M1,-33.0200mm,12.7000mm,Top,270
TP11,-40.6400mm,-2.5400mm,Top,90
TP10,-40.6400mm,0.0000mm,Top,90
TP7,-40.6400mm,-10.1600mm,Top,90
TP6,-40.6400mm,-12.7000mm,Top,90
TP4,5.0800mm,25.4000mm,Top,90
TP3,7.6200mm,25.4000mm,Top,90
TP2,10.1600mm,25.4000mm,Top,90
TP1,12.7000mm,25.4000mm,Top,0
R13,5.6476mm,0.6064mm,Top,0
R10,22.3000mm,-8.0000mm,Top,270
C17,0.7500mm,-22.7500mm,Top,180
C16,0.7500mm,-18.7500mm,Top,180
C2,0.7500mm,-17.0000mm,Top,180
C1,0.7500mm,-20.7500mm,Top,180
Y1,-1.1524mm,0.2064mm,Top,270
U7,26.2500mm,-20.9000mm,Top,270
U4,-4.4999mm,-19.2514mm,Top,0
U3,12.9984mm,-0.2544mm,Top,270
U2,37.5000mm,-20.9000mm,Top,270
U1,-18.5000mm,8.6000mm,Top,270
TP9,-40.6400mm,-5.0800mm,Top,90
TP8,-40.6400mm,-7.6200mm,Top,90
SW2,36.3220mm,21.0000mm,Top,0
SW1,25.1968mm,21.0000mm,Top,180
R12,5.4356mm,-8.3312mm,Top,90
R11,28.6258mm,20.3200mm,Top,270
R9,29.5000mm,-7.0000mm,Top,180
R8,25.1000mm,-8.0000mm,Top,270
R7,20.2484mm,-1.7544mm,Top,0
R6,20.2484mm,-0.4794mm,Top,0
R5,-5.0000mm,-24.7500mm,Top,90
R4,-7.0000mm,-24.7500mm,Top,90
R3,-9.7000mm,-22.0000mm,Top,90
L1,-12.7000mm,-17.1000mm,Top,180
J6,-8.0500mm,25.0000mm,Top,180
J5,-26.1500mm,25.0000mm,Top,180
J4,-26.7462mm,-20.7906mm,Top,0
J3,38.2500mm,0.0000mm,Top,90
J2,12.6616mm,-16.8446mm,Top,0
D1,33.3000mm,-8.1500mm,Top,90
C36,18.8722mm,16.4592mm,Top,270
C35,14.8490mm,14.0462mm,Top,0
C34,14.8490mm,15.3416mm,Top,0
C33,-23.7000mm,1.2000mm,Top,90
C32,-21.7000mm,1.3000mm,Top,90
C31,28.4988mm,4.4704mm,Top,270
C30,20.2000mm,-8.1000mm,Top,270
C29,-17.5000mm,-0.4250mm,Top,90
C28,-16.0000mm,-0.4250mm,Top,90
C27,38.2662mm,-14.9426mm,Top,270
C26,36.7662mm,-14.9426mm,Top,270
C25,33.1000mm,-18.0250mm,Top,90
C24,31.8000mm,-18.0250mm,Top,90
C23,30.5000mm,-18.0250mm,Top,90
C22,21.8694mm,-17.1450mm,Top,270
C21,2.4476mm,2.4314mm,Top,270
C20,-11.7500mm,-22.0000mm,Top,90
C19,-13.7500mm,-22.0000mm,Top,90
C18,20.1984mm,-4.3544mm,Top,180
C15,20.2234mm,-2.9544mm,Top,180
C14,5.6476mm,-1.7936mm,Top,0
C13,20.1984mm,2.1456mm,Top,180
C12,11.9888mm,7.3660mm,Top,270
C11,5.6476mm,-0.5936mm,Top,0
C10,17.1196mm,5.4356mm,Top,270
C9,17.0984mm,-6.8544mm,Top,90
C8,15.5984mm,-6.8544mm,Top,90
C7,11.4984mm,-6.9294mm,Top,90
C6,2.4476mm,-1.9936mm,Top,90
C5,20.1984mm,0.8456mm,Top,180
C4,-2.1844mm,-23.4442mm,Top,270
C3,-15.7500mm,-22.0000mm,Top,90
